version: 66.14
glider: 195
mission: 21
dive: 72
start: 4 21 105 11 36 45
columns: rec,elaps_tms,depth,heading,pitch,roll,AD_pitch,AD_roll,AD_vbd,GC_phase,mag.x,mag.y,mag.z,sbect.TempFreq,sbect.CondFreq,wlbb2fl.sig470nm,wlbb2fl.sig700nm,wlbb2fl.sig695nm,wlbb2fl.temp,aa4330.O2,aa4330.AirSat,aa4330.Temp,aa4330.CalPhase,aa4330.TCPhase,
data:
0 11630 54 1198 -662 -68 156 2199 1480 6 -42 -332 86 175169 136529 47 101 118 533 251904 98147 25268 29253 30659
1 4925 6 -266 -11 197 0 0 0 0 46 -10 -27 29 4 -3 0 -3 0 N N N N N
1 5612 -2 -50 50 -86 0 0 0 0 23 -10 -59 144 -2 2 1 0 0 252617 98338 25220 29240 30646
1 5300 -6 235 -39 -47 0 0 0 0 -34 21 87 -81 5 1 0 1 0 N N N N N
1 4849 2 -121 5 60 0 0 0 0 11 -10 -29 67 -5 -1 -2 1 0 252516 98064 25091 29294 30700
1 5139 -4 24 4 -3 0 0 0 0 -11 2 7 -147 -7 1 1 -2 0 N N N N N
1 5632 15 -27 68 -33 0 0 0 0 5 -8 -23 0 3 0 1 -2 -1 251961 98074 25216 29270 30676
1 5142 -6 -57 -113 42 0 0 0 0 13 -3 -14 -8 -2 1 0 5 0 N N N N N
1 5141 -5 36 67 -82 0 0 0 0 -4 -3 -19 279 2 -1 -3 1 0 252509 98141 25135 29278 30684
1 5035 5 46 127 2 0 0 0 0 -21 5 30 -306 -1 2 6 -4 0 N N N N N
1 5921 0 21 -73 23 0 0 0 0 -12 2 10 124 3 -1 -6 0 0 252390 98335 25268 29232 30638
1 5139 6 155 -68 -108 0 0 0 0 -5 8 23 -93 3 0 0 3 0 N N N N N
1 8367 -8 -158 -78 180 -1 0 8 -4 22 3 9 341 -1 1 4 -3 0 251111 98053 25388 29241 30647
