version: 66.14
glider: 195
mission: 21
dive: 67
start: 4 20 105 6 34 57
columns: rec,elaps_tms,depth,heading,pitch,roll,AD_pitch,AD_roll,AD_vbd,GC_phase,mag.x,mag.y,mag.z,sbect.TempFreq,sbect.CondFreq,wlbb2fl.sig470nm,wlbb2fl.sig700nm,wlbb2fl.sig695nm,wlbb2fl.temp,aa4330.O2,aa4330.AirSat,aa4330.Temp,aa4330.CalPhase,aa4330.TCPhase,
data:
0 11580 46 692 -684 11 165 2210 1398 6 66 -335 -111 176010 136721 44 102 132 534 256733 98711 24552 29322 30728
1 4935 114 -75 11 10 0 0 0 0 35 12 -12 196 42 N N N N N N N N N
1 10688 211 -133 -1 -9 0 0 0 0 57 30 -36 468 110 43 88 125 532 235215 90732 24726 30223 31629
1 10791 219 -25 -14 -6 0 0 0 0 8 6 -13 -170 -110 N N N N N N N N N
1 10269 206 -26 2 4 0 0 0 0 10 8 -5 -368 -222 42 81 103 532 231368 89147 24665 30432 31838
1 10437 209 -48 6 2 0 0 0 0 16 16 -10 -167 -117 N N N N N N N N N
1 10326 196 -56 -1 4 0 0 0 0 18 20 -13 321 89 38 76 89 532 234115 90311 24729 30274 31680
1 10439 218 -35 -2 -2 0 0 0 0 10 14 -8 -28 -27 N N N N N N N N N
1 10266 197 -3 -1 -9 0 0 0 0 0 1 -5 206 35 41 96 88 531 235238 90679 24690 30236 31642
1 10793 227 11 -1 -2 0 0 0 0 -3 -4 2 285 73 N N N N N N N N N
1 10268 196 22 -3 1 0 0 0 0 -6 -9 5 589 178 41 77 84 531 234138 89965 24517 30358 31764
1 10439 204 -9 7 3 0 0 0 0 3 4 1 585 188 N N N N N N N N N
1 10264 180 -1 -2 0 0 0 0 0 0 0 -2 237 93 40 77 84 531 231202 88420 24264 30601 32006
1 10440 216 51 -6 -9 0 0 0 0 -16 -19 8 1523 444 N N N N N N N N N
