dive,U_DAC,V_DAC
207,-0.10507137,-0.052748982
208,-0.17678347,-0.018530987
209,-0.27688742,0.05631798
210,-0.30143753,0.06142443
211,-0.17200442,0.070538945
212,-0.12723973,0.0034467278
213,-0.04000079,-0.102067865
214,0.06756102,-0.13501003
215,0.12396494,-0.15569207
216,0.123072855,-0.094048336
217,0.12035535,-0.039885882
218,0.12161405,0.0059525943
219,0.078554615,-0.01955443
220,0.035245713,0.003445947
221,0.011520359,-0.0106374165
222,-0.020638496,-0.037608027
223,-0.04318202,-0.05024824
224,-0.06575173,-0.07366794
225,-0.008963483,-0.024010792
226,0.0033847583,-0.025029736
227,-0.032010723,0.008630973
228,-0.011857222,-0.07673849
229,-0.0077840183,-0.0016967857
230,0.018585864,0.00873957
231,-0.016431037,-0.03075954
232,-0.020061238,-0.02564525
233,-0.019271404,-0.029422766
234,-0.048333947,-0.010196121
235,-0.081676364,-0.013290409
236,-0.1746448,0.011224856
237,-0.24157576,0.048855223
238,-0.34267443,0.10420475
239,-0.2953608,0.19159131
240,-0.25664443,0.13355026
241,-0.11247354,0.009876327
242,-0.004460463,-0.1358276
243,0.12697129,-0.2035953
244,0.15344606,-0.19216192
245,0.24142717,-0.16381297
246,0.21278897,-0.059890803
247,0.18386266,0.005163296
248,0.10881748,0.031182077
249,0.063308634,-0.005770551
250,0.007833494,-0.05192439
251,-0.0015128745,-0.041736074
252,-0.015526169,-0.0405703
253,-0.018588807,-0.020673243
254,-0.059707243,-0.045416396
255,-0.036826245,-0.06112605
256,0.0002794188,-0.022288678
257,-0.025514496,-0.0026952918
258,-0.011007373,-0.07045437
259,0.03679572,-0.0017742959
260,0.04028997,-0.008432602
261,-0.012577254,-0.012657274
262,-0.01976251,-0.038632765
263,0.0059599243,-0.008711468
264,-0.0434533,-0.053000547
265,-0.008808974,-0.049486425
266,-0.046438523,-0.050040975
267,-0.04066561,-0.067138456
268,-0.124404795,-0.108739175
269,-0.12991872,-0.07974615
270,-0.13045819,-0.053604323
271,-0.11296728,-0.03390269
272,-0.07013906,-0.07575381
273,-0.0064935004,-0.085321955
274,0.06959099,-0.12798393
275,0.14388007,-0.16380624
276,0.19252959,-0.1146865
277,0.20748205,-0.08384293
278,0.21532786,0.009561569
279,0.15759149,0.019448154
280,0.12714282,0.04665907
281,0.04116887,-0.0012433561
282,-0.0036197426,-0.008484683
283,-0.01098886,-0.032930166
284,-0.02705755,-0.025746359
285,-0.023081282,-0.041584272
286,-0.0004252579,0.0072978972
287,0.00536917,-0.049307067
288,-0.018848173,-0.0061268527
289,0.032292183,-0.0485078
290,-0.0074865804,0.010516158
291,0.006673171,0.026623255
292,-0.004411916,0.016186187
293,-0.012383453,0.014226295
